date,price
2026-02-27,88.2282358588
2026-02-26,89.8984904902
2026-02-25,87.8288963814
2026-02-24,87.0090691641
2026-02-23,86.6072617643
2026-02-22,84.7465311762
2026-02-21,84.7465311762
2026-02-20,78.5784337827
2026-02-19,76.895964589
2026-02-18,72.8970635073
2026-02-17,74.3076880882
2026-02-16,76.9040904863
2026-02-15,77.4261431633
2026-02-14,77.4261431633
2026-02-13,76.5565858243
2026-02-12,82.3924208135
2026-02-11,81.6504888607
2026-02-10,81.7728370702
2026-02-09,79.8398049443
2026-02-08,76.9978050698
2026-02-07,78.3358857123
2026-02-06,70.9137432246
2026-02-05,88.5049222809
2026-02-04,86.9392903718
2026-02-03,83.5523246726
2026-02-02,80.7130396548
2026-02-01,85.2144421437
2026-01-31,85.3125190807
2026-01-30,114.8438989472
2026-01-29,117.3901167171
2026-01-28,113.5807955228
2026-01-27,109.7294707682
2026-01-26,107.6104614931
2026-01-25,103.1546944005
2026-01-24,103.1546944005
2026-01-23,97.4755185849
2026-01-22,91.7516757411
2026-01-21,95.1322990613
2026-01-20,93.5518971338
2026-01-19,93.6680001056
2026-01-18,90.1196387771
2026-01-17,90.1355565761
2026-01-16,91.7120860838
2026-01-15,91.7436789867
2026-01-14,88.9857251324
2026-01-13,84.2302500258
2026-01-12,83.4467423239
2026-01-11,79.9083157556
2026-01-10,79.9124811293
2026-01-09,75.8112478237
2026-01-08,78.6969807227
2026-01-07,80.2892223329
2026-01-06,76.5014105636
2026-01-05,75.7057007203
2026-01-04,72.8181412942
2026-01-03,72.8143067414
2026-01-02,72.5479531814
2026-01-01,71.5733136295
2025-12-31,75.2739242568
2025-12-30,72.64855973
2025-12-29,78.373438903
2025-12-28,79.2867358896
2025-12-27,79.2926216416
2025-12-26,74.964119174
2025-12-25,71.8530334723
2025-12-24,71.8226056336
2025-12-23,69.6186079623
2025-12-22,67.957220033
2025-12-21,67.1627409698
2025-12-20,67.1618893351
2025-12-19,65.3833035692
2025-12-18,66.1772584869
2025-12-17,64.298466279
2025-12-16,63.5543782573
2025-12-15,61.9267042464
2025-12-14,61.9289055669
2025-12-13,61.9297393483
2025-12-12,63.3108277058
2025-12-11,62.6528361116
2025-12-10,60.9711748467
2025-12-09,58.1184274197
2025-12-08,58.1964218861
2025-12-07,58.3037908997
2025-12-06,58.3395418274
2025-12-05,56.990907984
2025-12-04,58.5264087368
2025-12-03,58.2602732029
2025-12-02,56.8153968953
2025-12-01,57.1749966787
2025-11-30,56.3886702778
2025-11-29,56.3686469829
2025-11-28,53.7531179496
2025-11-27,53.1249729395
2025-11-26,51.512214195
2025-11-25,51.142562173
2025-11-24,49.9476149414
2025-11-23,50.0015777998
2025-11-22,49.9913197572
2025-11-21,50.8076787454
2025-11-20,51.7548967585
2025-11-19,50.7945228469
2025-11-18,49.9161999348
2025-11-17,50.6924122208
2025-11-16,50.5676177163
2025-11-15,50.5876596423
2025-11-14,52.5790140466
2025-11-13,53.0686664497
2025-11-12,51.318148731
2025-11-11,50.5362469387
2025-11-10,48.5818845867
2025-11-09,48.3146600071
2025-11-08,48.3260914752
2025-11-07,48.147965168
2025-11-06,48.0712779373
2025-11-05,47.1190199067
2025-11-04,47.9822996751
2025-11-03,48.503161162
2025-11-02,48.6758162793
2025-11-01,48.6784724489
2025-10-31,49.0086450417
2025-10-30,47.8335601808
2025-10-29,47.178086179
2025-10-28,46.8067361053
2025-10-27,48.1971747963
2025-10-26,48.614219349
2025-10-25,48.6137013099
2025-10-24,48.9261248882
2025-10-23,48.1958999854
2025-10-22,47.7013151243
2025-10-21,52.4572367688
2025-10-20,51.4662251482
2025-10-19,51.930486225
2025-10-18,51.8941852446
2025-10-17,54.0891640614
2025-10-16,53.1200993388
2025-10-15,52.0212478706
2025-10-14,52.4757365051
2025-10-13,50.4729346787
2025-10-12,50.0857051561
2025-10-11,50.1564074903
2025-10-10,49.4177496954
2025-10-09,48.810910574
2025-10-08,47.967683826
2025-10-07,48.543500095
2025-10-06,48.1962249536
2025-10-05,47.9954922634
2025-10-04,47.9895203173
2025-10-03,46.9191605338
2025-10-02,47.1059230239
2025-10-01,46.7245733026
2025-09-30,46.9314141263
2025-09-29,46.4698487032
2025-09-28,46.0566681429
2025-09-27,46.0485062993
2025-09-26,44.9343476603
2025-09-25,43.9382482895
2025-09-24,43.929776846
2025-09-23,43.9798237984
2025-09-22,43.1543229444
2025-09-21,43.0832396366
2025-09-20,43.0712719935
2025-09-19,41.7164611729
2025-09-18,41.7656486436
2025-09-17,42.5895988908
2025-09-16,42.6364499531
2025-09-15,42.2091499172
2025-09-14,42.1863898058
2025-09-13,42.1785330416
2025-09-12,41.475357949
2025-09-11,41.1919478326
2025-09-10,40.8544964698
2025-09-09,41.3179235934
2025-09-08,40.900523179
2025-09-07,41.0005954229
2025-09-06,41.0007589897
2025-09-05,40.7348219711
2025-09-04,41.0820463804
2025-09-03,40.903696827
2025-09-02,40.6688736444
2025-09-01,39.8340464232
2025-08-31,39.7191538073
2025-08-30,39.7362607418
2025-08-29,39.0211656109
2025-08-28,38.6423666051
2025-08-27,38.6691736304
2025-08-26,38.5836357834
2025-08-25,38.9021777431
2025-08-24,38.8865104387
2025-08-23,38.8894580145
2025-08-22,38.0859983595
2025-08-21,37.8919981202
2025-08-20,37.3700149428
2025-08-19,38.0535341761
2025-08-18,37.9393458291
2025-08-17,38.0085181498
2025-08-16,38.0022611117
2025-08-15,37.9937369224
2025-08-14,38.5342000312
2025-08-13,37.8978731903
2025-08-12,37.706810686
2025-08-11,38.1206970572
2025-08-10,38.3348881006
2025-08-09,38.3457630166
2025-08-08,38.2815988979
2025-08-07,37.8663985382
2025-08-06,37.7993548255
2025-08-05,37.4140678833
2025-08-04,36.9303646362
2025-08-03,37.0287755058
2025-08-02,37.0279713554
2025-08-01,36.6803892649
2025-07-31,37.0529980963
2025-07-30,38.2150486054
2025-07-29,38.117193744
2025-07-28,38.167422797
2025-07-27,38.1707440439
2025-07-26,38.1756084402
2025-07-25,39.1029954287
2025-07-24,39.2808907046
2025-07-23,39.2633485923
2025-07-22,38.9524975383
2025-07-21,38.2152973114
2025-07-20,38.1781182085
2025-07-19,38.175689762
2025-07-18,38.1268079637
2025-07-17,37.8746971246
2025-07-16,37.7725664143
2025-07-15,38.2743372062
2025-07-14,38.5119500116
2025-07-13,38.4086881067
2025-07-12,38.4209660691
2025-07-11,37.1144597245
2025-07-10,36.3621500112
2025-07-09,36.5631688889
2025-07-08,36.7919981054
2025-07-07,36.944370567
2025-07-06,36.9342977218
2025-07-05,36.9261167265
2025-07-04,36.731832108
2025-07-03,36.403466124
2025-07-02,36.1000465571
2025-07-01,36.1410238218
2025-06-30,35.8118490858
2025-06-29,35.9916739309
2025-06-28,35.9963412167
2025-06-27,36.6478344562
2025-06-26,36.3465481992
2025-06-25,35.9372731572
2025-06-24,35.8952504657
2025-06-23,36.0637126937
2025-06-22,36.0063457872
2025-06-21,36.005614341
2025-06-20,36.3612408851
2025-06-19,36.7406714048
2025-06-18,37.1028836621
